product_name,category,description,source_url
Mop-Ringers,Cleaning Tools,,https://maksotrading.com/product/mop-ringers/
Lux Dishwashing Liquid,Branded Products,,https://maksotrading.com/product/lux-dishwashing-liquid/
Portable Sanitizing Machine,Cleaning Machines,,https://maksotrading.com/product/portable-sanitizing-machine/
Dettol All In One Antibacterial Spray,Branded Products,,https://maksotrading.com/product/dettol-all-in-one-antibacterial-spray/
ALL PURPOSE CLEANER,Cleaning Chemicals,,https://maksotrading.com/product/all-purpose-cleaner/
Housekeeping Service Trolley,Trolley and Buckets,,https://maksotrading.com/product/housekeeping-service-trolley/
Aluminum Handles Colour Coded,Cleaning Tools,,https://maksotrading.com/product/aluminum-handles-colour-coded/
Basin Brushes,Cleaning Tools,,https://maksotrading.com/product/basin-brushes/
Coco Brushes,Cleaning Tools,,https://maksotrading.com/product/coco-brushes/
Dust Control (Airport) Mops,Cleaning Tools,,https://maksotrading.com/product/dust-control-airport-mops/
Dust Mop Frames,Cleaning Tools,,https://maksotrading.com/product/dust-mop-frames/
Dust Pan With Brush,Cleaning Tools,,https://maksotrading.com/product/dust-pan-with-brush/
Feather Duster,Cleaning Tools,,https://maksotrading.com/product/feather-duster/
Floor Wipers- 35 CM 45 CM 55 CM 60 CM70 CM,Cleaning Tools,,https://maksotrading.com/product/floor-wipers-35-cm-45-cm-55-cm-60-cm70-cm/
Glass Scrapper- Steel & Plastic,Cleaning Tools,,https://maksotrading.com/product/glass-scrapper-steel-plastic/
Glass Wiper- 25 CM 35 CM 45 CM,Cleaning Tools,,https://maksotrading.com/product/glass-wiper-25-cm-35-cm-45-cm/
Hand Brushes,Cleaning Tools,,https://maksotrading.com/product/hand-brushes/
Hard Brooms,Cleaning Tools,,https://maksotrading.com/product/hard-brooms/
