product_name,category,description,source_url
Aluminum Handles Colour Coded,Cleaning Tools,,https://maksotrading.com/product/aluminum-handles-colour-coded/
Basin Brushes,Cleaning Tools,,https://maksotrading.com/product/basin-brushes/
Coco Brushes,Cleaning Tools,,https://maksotrading.com/product/coco-brushes/
Dust Control (Airport) Mops,Cleaning Tools,,https://maksotrading.com/product/dust-control-airport-mops/
Dust Mop Frames,Cleaning Tools,,https://maksotrading.com/product/dust-mop-frames/
Dust Pan With Brush,Cleaning Tools,,https://maksotrading.com/product/dust-pan-with-brush/
Feather Duster,Cleaning Tools,,https://maksotrading.com/product/feather-duster/
"Floor Wipers- 35 CM, 45 CM, 55 CM, 60 CM,70 CM",Cleaning Tools,,https://maksotrading.com/product/floor-wipers-35-cm-45-cm-55-cm-60-cm70-cm/
Glass Scrapper- Steel &#038; Plastic,Cleaning Tools,,https://maksotrading.com/product/glass-scrapper-steel-plastic/
"Glass Wiper- 25 CM, 35 CM, 45 CM",Cleaning Tools,,https://maksotrading.com/product/glass-wiper-25-cm-35-cm-45-cm/
Hand Brushes,Cleaning Tools,,https://maksotrading.com/product/hand-brushes/
Hard Brooms,Cleaning Tools,,https://maksotrading.com/product/hard-brooms/
ALL PURPOSE CLEANER,Cleaning Chemicals,,https://maksotrading.com/product/all-purpose-cleaner/
ANTISEPTIC DISINFECTANT,Cleaning Chemicals,,https://maksotrading.com/product/antiseptic-disinfectant/
Dettol All In One Lemon Disinfectant 900ml,Cleaning Chemicals,,https://maksotrading.com/product/dettol-all-in-one-lemon-disinfectant-900ml/
Dettol Jasmine home All Purpose,Cleaning Chemicals,,https://maksotrading.com/product/dettol-jasmine-home-all-purpose/
DISH WASH LEMON,Cleaning Chemicals,,https://maksotrading.com/product/dish-wash-lemon/
FLOOR CLEANER DISINFECTANT,Cleaning Chemicals,,https://maksotrading.com/product/floor-cleaner-disinfectant/
GLASS CLEANER 750 ML,Cleaning Chemicals,,https://maksotrading.com/product/glass-cleaner-750-ml/
HAND SANITIZAR,Cleaning Chemicals,,https://maksotrading.com/product/hand-sanitizar/
Hand soap Liquid Rose,Cleaning Chemicals,,https://maksotrading.com/product/handsoap-liquid-rose/
HANDSOAP LIQUID LAVENDER,Cleaning Chemicals,,https://maksotrading.com/product/handsoap-liquid-lavender-2/
Lux Dishwashing Liquid,Cleaning Chemicals,,https://maksotrading.com/product/lux-dishwashing-liquid/
Glass Cloth,Towels Sponge,,https://maksotrading.com/product/glass-cloth/
J CLOTH COLOUR CODED,Towels Sponge,,https://maksotrading.com/product/j-cloth-colour-coded/
